陀螺X(弧度),陀螺Y(弧度),陀螺Z(弧度),加速度X(mg),加速度Y(mg),加速度Z(mg),滚动角(度),俯仰角(度),航向角(度)
0.04307,-0.08493,-0.01213,-32.82389,81.26955,-1043.02600,-4.00782,-2.60267,78.58669
0.04307,0.00000,-0.01213,-32.82389,81.26955,-1043.02600,-4.00782,-2.60267,78.58669
0.04614,-0.08838,-0.01625,-38.08615,79.04679,-1043.16700,-3.88868,-2.86158,78.65791
0.04614,0.97520,-0.01625,-38.08615,79.04679,-1043.16700,-3.88868,-2.86158,78.65791
0.05375,-0.08695,-0.01827,-41.77697,75.85423,-1044.11300,-3.71176,-3.06934,78.73584
0.05375,-0.08695,-0.01827,-41.77697,75.85423,-1044.11300,-3.71176,-3.06934,78.73584
0.05375,0.00000,-0.01827,-41.77697,75.85423,-1044.11300,-3.71176,-3.06934,78.73584
0.06664,-0.09569,-0.02514,-47.37414,71.88599,-1043.90100,-3.45641,-3.38561,78.75075
0.06664,0.00000,-0.02514,-47.37414,71.88599,-1043.90100,-3.45641,-3.38561,78.75075
0.06478,-0.09608,-0.02739,-53.66035,69.54335,-1044.57300,-3.31166,-3.66467,78.80164
0.06478,0.00000,-0.02739,-53.66035,69.54335,-1044.57300,-3.31166,-3.66467,78.80164
0.05732,-0.08815,-0.02512,-58.40747,65.83454,-1042.21000,-3.20155,-3.86262,78.86445
0.05732,-0.08815,-0.02512,-58.40747,65.83454,-1042.21000,-3.20155,-3.86262,78.86445
0.05732,0.00000,-0.02512,-58.40747,65.83454,-1042.21000,-3.20155,-3.86262,78.86445
0.05103,-0.07698,-0.02289,-64.21851,62.64525,-1042.94300,-3.11018,-4.02979,78.92108
0.05103,0.00000,-0.02289,-64.21851,62.64525,-1042.94300,-3.11018,-4.02979,78.92108
0.03916,-0.06760,-0.01904,-67.13058,60.82322,-1043.85100,-3.08317,-4.15041,78.99183
0.03916,0.97830,-0.01904,-67.13058,60.82322,-1043.85100,-3.08317,-4.15041,78.99183
0.03916,0.97830,-0.01904,-67.13058,60.82322,-1043.85100,-3.08317,-4.15041,78.99183
0.04023,0.97630,-0.01714,-68.62340,59.70096,-1043.41600,-2.99884,-4.26574,79.10864
0.04023,0.97630,-0.01714,-68.62340,59.70096,-1043.41600,-2.99884,-4.26574,79.10864
0.04158,-0.06142,-0.01700,-72.55190,58.49840,-1043.81900,-2.90460,-4.43013,79.16329
0.04158,0.88250,-0.01700,-72.55190,58.49840,-1043.81900,-2.90460,-4.43013,79.16329
0.03841,-0.05249,-0.01492,-76.60133,56.91408,-1042.30900,-2.83824,-4.53940,79.24491
0.03841,0.00000,-0.01492,-76.60133,56.91408,-1042.30900,-2.83824,-4.53940,79.24491
0.03841,0.00000,-0.01492,-76.60133,56.91408,-1042.30900,-2.83824,-4.53940,79.24491
0.03540,0.00000,-0.01477,-78.51038,55.06845,-1042.93200,-2.77507,-4.63216,79.32620
0.03540,0.00000,-0.01477,-78.51038,55.06845,-1042.93200,-2.77507,-4.63216,79.32620
0.03540,0.00000,-0.01477,-78.51038,55.06845,-1042.93200,-2.77507,-4.63216,79.32620
0.03419,-0.04508,-0.01350,-80.95904,54.54479,-1043.98300,-2.70468,-4.73014,79.41575
0.03419,0.00000,-0.01350,-80.95904,54.54479,-1043.98300,-2.70468,-4.73014,79.41575
0.03577,0.97030,-0.01323,-81.53458,53.35622,-1043.60100,-2.62006,-4.85755,79.49268
0.03577,0.97030,-0.01323,-81.53458,53.35622,-1043.60100,-2.62006,-4.85755,79.49268
0.03550,-0.04807,-0.01354,-84.40435,51.77766,-1042.94100,-2.56287,-5.00872,79.56654
0.03550,-0.04807,-0.01354,-84.40435,51.77766,-1042.94100,-2.56287,-5.00872,79.56654
0.03550,0.00000,-0.01354,-84.40435,51.77766,-1042.94100,-2.56287,-5.00872,79.56654
0.03184,-0.03860,-0.01224,-86.27148,51.60909,-1041.79600,-2.53100,-5.04101,79.62611
0.03184,-0.03860,-0.01224,-86.27148,51.60909,-1041.79600,-2.53100,-5.04101,79.62611
0.02958,-0.03672,-0.01090,-87.28238,50.03890,-1043.00000,-2.48895,-5.10558,79.72565
0.02958,-0.03672,-0.01090,-87.28238,50.03890,-1043.00000,-2.48895,-5.10558,79.72565
0.02958,0.00000,-0.01090,-87.28238,50.03890,-1043.00000,-2.48895,-5.10558,79.72565
0.03403,-0.04280,-0.01325,-87.32988,47.57252,-1042.60700,-2.37741,-5.24298,79.75461
0.03403,0.00000,-0.01325,-87.32988,47.57252,-1042.60700,-2.37741,-5.24298,79.75461
0.03704,-0.04051,-0.01441,-90.85362,46.32958,-1041.70700,-2.28264,-5.33296,79.77899
0.03704,-0.04051,-0.01441,-90.85362,46.32958,-1041.70700,-2.28264,-5.33296,79.77899
0.04043,-0.04441,-0.01558,-91.94735,44.46878,-1041.36600,-2.17315,-5.45989,79.83154
0.04043,-0.04441,-0.01558,-91.94735,44.46878,-1041.36600,-2.17315,-5.45989,79.83154
0.04043,0.93240,-0.01558,-91.94735,44.46878,-1041.36600,-2.17315,-5.45989,79.83154
